ticket_id,created_at,resolved_at,category,priority,status,building,description,submitted_by,assigned_to,resolution_notes,cost,sla_hours,_source_file,_ingested_at,_pipeline_run_id,_pipeline_actor,_row_hash,_raw_row_json,_rejection_reason
15,TBD,,NULL,urgent!!!,unknown,unknown,duplicate entry please delete,system,,,error,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,b8f9cfa30cea56dce112b701cb8f5cd0acfec486b0dd9ce6d71306bc8c041b16,"{""fields"": {""ticket_id"": ""15"", ""created_at"": ""TBD"", ""resolved_at"": """", ""category"": ""NULL"", ""priority"": ""urgent!!!"", ""status"": ""unknown"", ""building"": ""unknown"", ""description"": ""duplicate entry please delete"", ""submitted_by"": ""system"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
N/A,asap,,???,???,unknown,???,asdfasdfasdf,test,,,error,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,55c3fd68ef291fdb32fd2c579016622dc334f240004386fad5d49fe6c0cf7f3e,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""asap"", ""resolved_at"": """", ""category"": ""???"", ""priority"": ""???"", ""status"": ""unknown"", ""building"": ""???"", ""description"": ""asdfasdfasdf"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
N/A,not a date,,test,null,NULL,???,asdfasdfasdf,admin,,,,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,ff0d8c2fd4a31c938e73f75a49d52b8f7e463194154c99600c098c846e084a8b,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""not a date"", ""resolved_at"": """", ""category"": ""test"", ""priority"": ""null"", ""status"": ""NULL"", ""building"": ""???"", ""description"": ""asdfasdfasdf"", ""submitted_by"": ""admin"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
,,???,DELETE ME,ASAP,unknown,???,NULL,test,,,,,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,101f3ba56a2ac19754403bca936317d983b8769957f88fa56a621110ce601bba,"{""fields"": {""ticket_id"": """", ""created_at"": """", ""resolved_at"": ""???"", ""category"": ""DELETE ME"", ""priority"": ""ASAP"", ""status"": ""unknown"", ""building"": ""???"", ""description"": ""NULL"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": """"}, ""extra_columns"": []}",invalid_ticket_id
N/A,not a date,???,unknown,urgent!!!,,unknown,,test,,,error,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,aea95cf414d604b3c3afb531063617bfd520c249710217044937293484e4e8b2,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""not a date"", ""resolved_at"": ""???"", ""category"": ""unknown"", ""priority"": ""urgent!!!"", ""status"": """", ""building"": ""unknown"", ""description"": """", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
,00/00/0000,,,urgent!!!,unknown,,,admin,,,NULL,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,cdc2a501117f9a7f7c26ab84f44372ae0b4327b04bb949ea800dd501760ef2cf,"{""fields"": {""ticket_id"": """", ""created_at"": ""00/00/0000"", ""resolved_at"": """", ""category"": """", ""priority"": ""urgent!!!"", ""status"": ""unknown"", ""building"": """", ""description"": """", ""submitted_by"": ""admin"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""NULL"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
,not a date,???,,null,,,,test,,,,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,a550d12a0470bf4ab45dadc45a403724ba8963207acaf3140076c7523e567b3f,"{""fields"": {""ticket_id"": """", ""created_at"": ""not a date"", ""resolved_at"": ""???"", ""category"": """", ""priority"": ""null"", ""status"": """", ""building"": """", ""description"": """", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
90,TBD,pending,asdf,???,???,test building,.,,,,error,,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,a1611e2d86d0e517a9fab203067fe99ca6d0e012f2bee9704db4e9b4e40a66cd,"{""fields"": {""ticket_id"": ""90"", ""created_at"": ""TBD"", ""resolved_at"": ""pending"", ""category"": ""asdf"", ""priority"": ""???"", ""status"": ""???"", ""building"": ""test building"", ""description"": ""."", ""submitted_by"": """", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": """"}, ""extra_columns"": []}",invalid_ticket_id
N/A,00/00/0000,???,unknown,ASAP,???,???,NULL,admin,,,error,,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,40248456e97994edc63f9b4091f64c6116e4fa97ae9b9aed71343c49c7b96ddb,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""00/00/0000"", ""resolved_at"": ""???"", ""category"": ""unknown"", ""priority"": ""ASAP"", ""status"": ""???"", ""building"": ""???"", ""description"": ""NULL"", ""submitted_by"": ""admin"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": """"}, ""extra_columns"": []}",invalid_ticket_id
NULL,asap,,,urgent!!!,,,duplicate entry please delete,test,,,,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,6a98d666b1cf1dea5e510b22b9d2fdabe12221b9845cb8c62631935bd9b79015,"{""fields"": {""ticket_id"": ""NULL"", ""created_at"": ""asap"", ""resolved_at"": """", ""category"": """", ""priority"": ""urgent!!!"", ""status"": """", ""building"": """", ""description"": ""duplicate entry please delete"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
